PROVINCIA	CANTON	PARROQUIA	ZONA	SECTOR	MANZANA	No. DE VIVIENDA	No. DE HOGAR	Area urbana o rural	Secuencial de Hogar	Del total de cuartos de este hogar, Cuantos son exclusivos para dormir	Ningun Dormitorio	Tiene este hogar cuarto o espacio exclusivo para cocinar	El servicio higi‚nico o escusado que dispone el hogar es	Dispone este hogar de espacio con instalaciones y/o ducha para ba¤arse	Cual es el principal combustible o energ¡a que utiliza este hogar para cocinar	Principalmente, el agua que toman los miembros del hogar	Dispone este hogar de servicio de telefono convencional	Algun miembro de este hogar dispone de servicio de telefono celular	Dispone este hogar de servicio de internet	Dispone este hogar de computadora	Dispone este hogar de servicio de televisi¢n por cable	Cuanto fue el £ltimo pago que realiz¢ el hogar por concepto de luz el‚ctrica	No paga la luz electrica	Alg£n miembro de este hogar se traslada fuera de esta ciudad o parroquia rural para trabajar	Cuantos se trasladan fuera de esta ciudad o parroquia para trabajar	Alg£n miembro de este hogar se traslada fuera de esta ciudad o parroquia rural para estudiar	Cuantos se trasladan fuera de la ciudad o parroquia rural para estudiar	La vivienda que ocupa este hogar es	Durante el a¤o 2010, Alguna persona de este hogar recibi¢ dinero por parte de familiares o amigos que viven en el exterior	A partir del £ltimo censo de poblaci¢n y vivienda(Noviembre 2001) una o mas personas que viv¡an en este hogar viajaron a otro pais y todavia no regresan para quedarse definitivamente	Cuantos personas viajaron al Exterior	Total_Personas	Total_Hombres	Total_Mujeres	Identificador de manzana	sec_id	viv_id	hog_id	Nombre de provincia	Nombre de cant¢n	Nombre de parroquia
Orellana	01	51	999	007	01	002	1	Area rural	Hogar 1	2 dormitorios	#NULL !	No	De uso exclusivo del hogar	No tiene	Gas (tanque o cilindro)	La hierven	No	No	No	No	No	#NULL !	#NULL !	No	#NULL !	No	#NULL !	Propia y totalmente pagada	No	No	#NULL !	9	4	5	22015199900701	220151999007	22015199900701002	220151999007010021	ORELLANA	ORELLANA	DAYUMA
Orellana	01	51	999	007	01	003	1	Area rural	Hogar 1	2 dormitorios	#NULL !	No	De uso exclusivo del hogar	No tiene	Gas (tanque o cilindro)	La hierven	No	Si	No	No	No	3	#NULL !	No	#NULL !	No	#NULL !	Prestada o cedida (no pagada)	No	No	#NULL !	3	2	1	22015199900701	220151999007	22015199900701003	220151999007010031	ORELLANA	ORELLANA	DAYUMA
Orellana	01	51	999	007	01	004	1	Area rural	Hogar 1	3 dormitorios	#NULL !	Si	De uso exclusivo del hogar	No tiene	Gas (tanque o cilindro)	Le ponen cloro	No	Si	No	No	No	26	#NULL !	No	#NULL !	No	#NULL !	Propia y totalmente pagada	No	No	#NULL !	1	0	1	22015199900701	220151999007	22015199900701004	220151999007010041	ORELLANA	ORELLANA	DAYUMA
Orellana	01	51	999	007	01	005	1	Area rural	Hogar 1	2 dormitorios	#NULL !	Si	No tiene	No tiene	Gas (tanque o cilindro)	La beben tal como llega al hogar	No	Si	No	No	No	#NULL !	2	No	#NULL !	No	#NULL !	Propia y totalmente pagada	No	No	#NULL !	3	2	1	22015199900701	220151999007	22015199900701005	220151999007010051	ORELLANA	ORELLANA	DAYUMA
Orellana	01	51	999	007	01	006	1	Area rural	Hogar 1	2 dormitorios	#NULL !	Si	De uso exclusivo del hogar	No tiene	Gas (tanque o cilindro)	La hierven	No	Si	No	No	No	#NULL !	2	No	#NULL !	No	#NULL !	Propia y totalmente pagada	No	No	#NULL !	3	1	2	22015199900701	220151999007	22015199900701006	220151999007010061	ORELLANA	ORELLANA	DAYUMA
Orellana	01	51	999	007	01	007	1	Area rural	Hogar 1	2 dormitorios	#NULL !	Si	De uso exclusivo del hogar	No tiene	Gas (tanque o cilindro)	La beben tal como llega al hogar	No	Si	No	No	No	18	#NULL !	No	#NULL !	No	#NULL !	Propia y totalmente pagada	No	No	#NULL !	8	4	4	22015199900701	220151999007	22015199900701007	220151999007010071	ORELLANA	ORELLANA	DAYUMA
Orellana	01	51	999	007	01	009	1	Area rural	Hogar 1	3 dormitorios	#NULL !	Si	De uso exclusivo del hogar	No tiene	Gas (tanque o cilindro)	La beben tal como llega al hogar	No	No	No	No	No	#NULL !	2	No	#NULL !	No	#NULL !	Prestada o cedida (no pagada)	No	No	#NULL !	8	4	4	22015199900701	220151999007	22015199900701009	220151999007010091	ORELLANA	ORELLANA	DAYUMA
Orellana	01	51	999	007	01	010	1	Area rural	Hogar 1	1 dormitorio	#NULL !	Si	De uso exclusivo del hogar	No tiene	Gas (tanque o cilindro)	Le ponen cloro	No	No	No	No	No	4	#NULL !	No	#NULL !	No	#NULL !	Prestada o cedida (no pagada)	No	No	#NULL !	5	4	1	22015199900701	220151999007	22015199900701010	220151999007010101	ORELLANA	ORELLANA	DAYUMA
Orellana	01	51	999	007	01	014	1	Area rural	Hogar 1	3 dormitorios	#NULL !	Si	De uso exclusivo del hogar	No tiene	Gas (tanque o cilindro)	Le ponen cloro	No	Si	No	Si	No	6	#NULL !	No	#NULL !	No	#NULL !	Propia y totalmente pagada	No	No	#NULL !	6	3	3	22015199900701	220151999007	22015199900701014	220151999007010141	ORELLANA	ORELLANA	DAYUMA
Orellana	01	51	999	007	01	017	1	Area rural	Hogar 1	1 dormitorio	#NULL !	Si	No tiene	No tiene	Le¤a, carb¢n	La hierven	No	Si	Si	No	No	#NULL !	#NULL !	No	#NULL !	No	#NULL !	Prestada o cedida (no pagada)	No	No	#NULL !	3	1	2	22015199900701	220151999007	22015199900701017	220151999007010171	ORELLANA	ORELLANA	DAYUMA
