PROVINCIA,CANTON,PARROQUIA,ZONA,SECTOR,MANZANA,No. DE VIVIENDA,No. DE HOGAR,Area urbana o rural,Tipo de vivienda,Via de acceso principal a la vivienda,Condición de ocupación de la vivienda,Material predominante del techo o cubierta de la vivienda,Material predominante de las paredes exteriores de la vivienda,Material predominante del piso de la vivienda,Estado del techo de la vivienda,Estado de las paredes de la vivienda,Estado del piso de la vivienda,De donde proviene principalmente el agua que recibe la vivienda,El agua que recibe la vivienda es,El servicio higiénico o escusado de la vivienda es,El servicio de luz (energía) eléctrica de la vivienda proviene principalmente,Dispone la vivienda de medidor de energía eléctrica,Cuantos focos ahorradores tiene su vivienda,Cuantos focos convencionales tiene su vivienda,Principalmente como elimina la basura,"Sin contar la cocina, el baño y cuartos de negocio.Cuantos cuartos tiene la vivienda","Todas las personas que duermen en esta vivienda, cocinan sus alimentos en forma conjunta y comparten un mismo gasto para la comida",Cuantos grupos de personas(hogares) duermen en su vivienda y cocinan los alimentos por separado incluya su hogar,nro_hogares,Total de personas de la vivienda,Total de dormitorios de la vivienda,Total de emigrantes,Identificador de manzana,sec_id,viv_id,hog_id,Nombre de provincia,Nombre de cantón,Nombre de parroquia,Total_Personas
Orellana,01,51,999,001,06,008,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,En construcción,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,0,#NULL !,#NULL !,22015199900106,220151999001,22015199900106008,220151999001060081,ORELLANA,ORELLANA,DAYUMA,0
Orellana,01,51,999,001,07,002,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,En construcción,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,0,#NULL !,#NULL !,22015199900107,220151999001,22015199900107002,220151999001070021,ORELLANA,ORELLANA,DAYUMA,0
Orellana,01,51,999,003,01,004,1,Area rural,Rancho,"Calle o carretera adoquinada, pavimentada o de concreto",En construcción,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,0,#NULL !,#NULL !,22015199900301,220151999003,22015199900301004,220151999003010041,ORELLANA,ORELLANA,DAYUMA,0
Orellana,01,51,999,003,02,008,1,Area rural,Rancho,Calle o carretera empedrada,En construcción,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,0,#NULL !,#NULL !,22015199900302,220151999003,22015199900302008,220151999003020081,ORELLANA,ORELLANA,DAYUMA,0
Orellana,01,51,999,004,01,002,1,Area rural,Casa/Villa,Calle o carretera empedrada,En construcción,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,0,#NULL !,#NULL !,22015199900401,220151999004,22015199900401002,220151999004010021,ORELLANA,ORELLANA,DAYUMA,0
Orellana,01,51,999,004,03,002,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,En construcción,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,0,#NULL !,#NULL !,22015199900403,220151999004,22015199900403002,220151999004030021,ORELLANA,ORELLANA,DAYUMA,0
Orellana,01,51,999,004,03,010,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,En construcción,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,0,#NULL !,#NULL !,22015199900403,220151999004,22015199900403010,220151999004030101,ORELLANA,ORELLANA,DAYUMA,0
Orellana,01,51,999,004,04,032,1,Area rural,Casa/Villa,Calle o carretera empedrada,En construcción,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,0,#NULL !,#NULL !,22015199900404,220151999004,22015199900404032,220151999004040321,ORELLANA,ORELLANA,DAYUMA,0
Orellana,01,51,999,004,05,019,1,Area rural,Mediagua,Calle o carretera lastrada o de tierra,En construcción,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,0,#NULL !,#NULL !,22015199900405,220151999004,22015199900405019,220151999004050191,ORELLANA,ORELLANA,DAYUMA,0
Orellana,01,51,999,005,01,004,1,Area rural,Casa/Villa,Calle o carretera empedrada,En construcción,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,0,#NULL !,#NULL !,22015199900501,220151999005,22015199900501004,220151999005010041,ORELLANA,ORELLANA,DAYUMA,0
Orellana,01,51,999,005,02,004,1,Area rural,Rancho,Calle o carretera empedrada,En construcción,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,0,#NULL !,#NULL !,22015199900502,220151999005,22015199900502004,220151999005020041,ORELLANA,ORELLANA,DAYUMA,0
Orellana,01,51,999,005,02,016,1,Area rural,Rancho,Calle o carretera empedrada,En construcción,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,0,#NULL !,#NULL !,22015199900502,220151999005,22015199900502016,220151999005020161,ORELLANA,ORELLANA,DAYUMA,0
Orellana,01,51,999,005,02,020,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,En construcción,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,0,#NULL !,#NULL !,22015199900502,220151999005,22015199900502020,220151999005020201,ORELLANA,ORELLANA,DAYUMA,0
Orellana,01,51,999,005,03,003,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,En construcción,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,0,#NULL !,#NULL !,22015199900503,220151999005,22015199900503003,220151999005030031,ORELLANA,ORELLANA,DAYUMA,0
Orellana,01,51,999,005,03,017,1,Area rural,Rancho,"Camino, sendero, chaquiñan",En construcción,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,0,#NULL !,#NULL !,22015199900503,220151999005,22015199900503017,220151999005030171,ORELLANA,ORELLANA,DAYUMA,0
Orellana,01,51,999,006,01,014,1,Area rural,Casa/Villa,"Camino, sendero, chaquiñan",En construcción,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,0,#NULL !,#NULL !,22015199900601,220151999006,22015199900601014,220151999006010141,ORELLANA,ORELLANA,DAYUMA,0
Orellana,01,51,999,006,01,037,1,Area rural,Casa/Villa,Calle o carretera empedrada,En construcción,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,0,#NULL !,#NULL !,22015199900601,220151999006,22015199900601037,220151999006010371,ORELLANA,ORELLANA,DAYUMA,0
