PROVINCIA,CANTON,PARROQUIA,ZONA,SECTOR,MANZANA,No. DE VIVIENDA,No. DE HOGAR,Area urbana o rural,orden_en_hogar,Come y duerme  en este hogar,Sexo,Que parentesco o relación tiene con el/la jefe/a del hogar,Age,Cual es el mes en que nació,Cual es el año en que nació,Tiene cédula de ciudadanía ecuatoriana,Está inscrito en el Registro Civil,Tiene seguro de salud privado,Tiene discapacidad permanente por más de un año,Discapacidad intelectual,Discapacidad Fisico-Motora,Discapacidad Visual,Discapacidad Auditiva,Discapacidad Mental,Asiste actualmente a un establecimiento de educación especial para personas con discapacidad,En dónde nació,En que año llegó al Ecuador,Provincia/País Cantón Parroquia de Nacimiento,En que lugar vive habitualmente,Provincia/País Cantón Parroquia Que Vive Habitualmente,Hace 5 años(Noviembre 2005) En que lugar vivía habitualmente,Provincia/País Cantón Parroquia Que Vivía Hace 5 años,Habla Lengua Indígena el Papá,Habla Lengua Indígena la Mamá,Habla Lengua Castellano/Español el Papá,Habla Lengua Castellano/Español la Mamá,Habla Lengua Extranjera el Papá,Habla Lengua Extranjera la Mamá,No habla el Papá,No habla la Mamá,Habla Lengua Indígena,Cual lengua indigena habla,Habla Lengua Castellana,Habla Lengua Extranjera,No habla Ningún Idioma,Como se identifica según su cultura y costumbres,Cual es la Nacionalidad o Pueblo indígena al que pertenece,El/la niño/a participa en el Programa del INFA,El/la niño/a participa en el Programa del Ministerio de Educación,El/la niño/a participa en el Programa del Centro Infantil Privado,El/la niño/a participa en el Programa del Centro Infantil Público,El/la niño/a participa en Otro Programa,"El/la niño/a Le cuida la madre, el padre, familiares o conocidos gratis",El/la niño/a paga a familiares o conocidos por el cuidado,Sabe leer y escribir,En los ultimos 6 meses ha utilizado Telefono Celular,En los ultimos 6 meses ha utilizado Internet,En los utlimos 6 meses ha utilizado Computadora,Asiste actualmente a un establecimiento de enseñanza regular,El establecimiento de enseñanza regular al que asiste es,Cual es el nivel de instrucción más alto al que asiste o asistió,"Cual es el grado, curso o año más alto que aprobó",Tiene algún título de nivel superior o postgrado,Que título tiene,Qué hizo la semana pasada,Si NO ha trabajado,A que se dedica o que hace el negocio o empresa en la que trabaja o trabajo,Que hace o que es en donde trabaja o trabajo,En el lugar indicado trabaja o trabajo como,Cuantas horas trabajo la semana pasada o la última semana que trabajó,El trabajo que realiza o realizó es o fue,Estado conyugal,Seguridad Social aporta o es afiliado,Cuantos hijos e hijas nacidos vivos ha tenido durante toda su vida,Cuantos hijos nacidos vivos ha tenido durante toda su vida,Cuantas hijas nacidas vivas ha tenido durante toda su vida,No sabe cuantos hijo/as nacidos vivos ha tenido durante toda su vida,Total de Hijos Vivos Actualmente,No sabe cuantos hijos estan vivos actualmente,A que edad tuvo su primer hijo o hija,No sabe a que edad tuvo su primer hijo,Año que tuvo su último hijo nacido vivo,Mes que tuvo su último hijo nacido vivo,No sabe cuando  tuvo su último hijo nacido vivo,Esta vivo el último hijo o hija nacido vivo,Discapacidad recodificada,Idioma que habla recodificado,Autoidentificación étnica recodifica,Tipo de actividad,Rama de actividad recodificada,Grupo de ocupación recodificado,Grupos de edad quinquenal,Grandes grupos de edad,Años de escolaridad,Identificador de manzana,viv_id,hog_id,Nombre de provincia,Nombre de cantón,Nombre de parroquia,sec_id
Orellana,01,51,999,007,01,002,1,Area rural,1,Si,Mujer,Jefe o Jefa de hogar,44,Octubre,1966,Si,#NULL !,No,No Responde,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,En otro lugar del país,#NULL !,131457,En esta ciudad o parroquia rural,220151,En otro lugar del país,220151,#NULL !,#NULL !,Si,Si,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,Si,#NULL !,#NULL !,Mestizo/a,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,Si,Si,No,No,Si,Fiscal (Estado),Centro de Alfabetización/(EBA),2,#NULL !,#NULL !,Trabajó al menos una hora,#NULL !,127,6112,Jornalero/a o peón,40,Fuera del hogar,Viudo/a,No aporta,Ninguno,0,0,0,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,Castellano Español,Mestizo,Trabajó al menos 1 hora,"Agricultura, ganadería, silvicultura y pesca","Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros",De 40 a 44 años,De 15 a 64 años,3,22015199900701,22015199900701002,220151999007010021,ORELLANA,ORELLANA,DAYUMA,220151999007
Orellana,01,51,999,007,01,002,1,Area rural,2,Si,Hombre,Hijo o HIja,19,Julio,1991,Si,#NULL !,No,No Responde,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,En otro lugar del país,#NULL !,220150,En esta ciudad o parroquia rural,220151,En otro lugar del país,220150,#NULL !,#NULL !,Si,Si,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,Si,#NULL !,#NULL !,Mestizo/a,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,Si,Si,No,No,No,#NULL !,Educación Básica,1,#NULL !,#NULL !,Trabajó al menos una hora,#NULL !,5610,9412,Empleado/a u obrero/a privado,105,Fuera del hogar,Soltero/a,No aporta,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,Castellano Español,Mestizo,Trabajó al menos 1 hora,Actividades de alojamiento y servicio de comidas,Ocupaciones elementales,De 15 a 19 años,De 15 a 64 años,1,22015199900701,22015199900701002,220151999007010021,ORELLANA,ORELLANA,DAYUMA,220151999007
Orellana,01,51,999,007,01,002,1,Area rural,3,Si,Mujer,Nieto o nieta,8,Enero,2002,Si,#NULL !,No,No Responde,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,En otro lugar del país,#NULL !,220151,En esta ciudad o parroquia rural,220151,En otro lugar del país,220151,#NULL !,#NULL !,Si,Si,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,Si,#NULL !,#NULL !,Mestizo/a,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,Si,No,No,No,Si,Fiscal (Estado),Educación Básica,4,#NULL !,#NULL !,No trabajó,Es estudiante,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,Castellano Español,Mestizo,Es estudiante,#NULL !,#NULL !,De 5 a 9 años,De 0 a 14 años,3,22015199900701,22015199900701002,220151999007010021,ORELLANA,ORELLANA,DAYUMA,220151999007
Orellana,01,51,999,007,01,002,1,Area rural,4,Si,Mujer,Nieto o nieta,7,Mayo,2003,No,Si,No,No Responde,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,En otro lugar del país,#NULL !,220150,En esta ciudad o parroquia rural,220151,En otro lugar del país,220151,#NULL !,#NULL !,Si,Si,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,Si,#NULL !,#NULL !,Mestizo/a,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,Si,No,No,No,Si,Fiscal (Estado),Educación Básica,3,#NULL !,#NULL !,No trabajó,Es estudiante,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,Castellano Español,Mestizo,Es estudiante,#NULL !,#NULL !,De 5 a 9 años,De 0 a 14 años,2,22015199900701,22015199900701002,220151999007010021,ORELLANA,ORELLANA,DAYUMA,220151999007
Orellana,01,51,999,007,01,002,1,Area rural,5,Si,Hombre,Nieto o nieta,5,Septiembre,2005,Si,#NULL !,No,No Responde,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,En otro lugar del país,#NULL !,131750,En esta ciudad o parroquia rural,220151,En otro lugar del país,220151,#NULL !,#NULL !,Si,Si,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,Si,#NULL !,#NULL !,Mestizo/a,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,No,No,No,No,Si,Fiscal (Estado),Educación Básica,1,#NULL !,#NULL !,No trabajó,Es estudiante,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,Castellano Español,Mestizo,Es estudiante,#NULL !,#NULL !,De 5 a 9 años,De 0 a 14 años,0,22015199900701,22015199900701002,220151999007010021,ORELLANA,ORELLANA,DAYUMA,220151999007
Orellana,01,51,999,007,01,002,1,Area rural,6,Si,Hombre,Nieto o nieta,3,Octubre,2007,No,Si,No,No Responde,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,En otro lugar del país,#NULL !,220150,En esta ciudad o parroquia rural,220151,No había nacido,#NULL !,#NULL !,#NULL !,Si,Si,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,Si,#NULL !,#NULL !,Mestizo/a,#NULL !,Programa del INFA,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,Castellano Español,Mestizo,#NULL !,#NULL !,#NULL !,De 1 a 4 años,De 0 a 14 años,#NULL !,22015199900701,22015199900701002,220151999007010021,ORELLANA,ORELLANA,DAYUMA,220151999007
Orellana,01,51,999,007,01,002,1,Area rural,7,Si,Mujer,Hijo o HIja,23,Noviembre,1987,Si,#NULL !,No,No Responde,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,En otro lugar del país,#NULL !,130450,En esta ciudad o parroquia rural,220151,En otro lugar del país,220151,#NULL !,#NULL !,Si,Si,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,Si,#NULL !,#NULL !,Mestizo/a,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,Si,No,No,No,No,#NULL !,Centro de Alfabetización/(EBA),1,#NULL !,#NULL !,Trabajó al menos una hora,#NULL !,9999,9999,Se ignora,30,Se ignora,Soltero/a,No aporta,2,2,0,#NULL !,2,#NULL !,19,#NULL !,2010,Septiembre,#NULL !,Si,#NULL !,Castellano Español,Mestizo,Trabajó al menos 1 hora,No declarado,No declarado,De 20 a 24 años,De 15 a 64 años,3,22015199900701,22015199900701002,220151999007010021,ORELLANA,ORELLANA,DAYUMA,220151999007
Orellana,01,51,999,007,01,002,1,Area rural,8,Si,Mujer,Nieto o nieta,4,Abril,2006,No,Si,No,No Responde,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,En otro lugar del país,#NULL !,130550,En esta ciudad o parroquia rural,220151,No había nacido,#NULL !,#NULL !,#NULL !,Si,Si,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,Si,#NULL !,#NULL !,Mestizo/a,#NULL !,Programa del INFA,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,Castellano Español,Mestizo,#NULL !,#NULL !,#NULL !,De 1 a 4 años,De 0 a 14 años,#NULL !,22015199900701,22015199900701002,220151999007010021,ORELLANA,ORELLANA,DAYUMA,220151999007
Orellana,01,51,999,007,01,002,1,Area rural,9,Si,Hombre,Nieto o nieta,0,Septiembre,2010,No,No,No,No Responde,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,En otro lugar del país,#NULL !,220151,En esta ciudad o parroquia rural,220151,No había nacido,#NULL !,#NULL !,#NULL !,Si,Si,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,Si,Mestizo/a,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,Al cuidado familiar,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,No habla,Mestizo,#NULL !,#NULL !,#NULL !,Menor de 1 año,De 0 a 14 años,#NULL !,22015199900701,22015199900701002,220151999007010021,ORELLANA,ORELLANA,DAYUMA,220151999007
Orellana,01,51,999,007,01,003,1,Area rural,1,Si,Hombre,Jefe o Jefa de hogar,30,Julio,1980,Si,#NULL !,Si,No Responde,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,En otro lugar del país,#NULL !,131150,En esta ciudad o parroquia rural,220151,En otro lugar del país,220151,#NULL !,#NULL !,Si,Si,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,Si,#NULL !,#NULL !,Mestizo/a,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,Si,Si,No,No,No,#NULL !,Primario,6,#NULL !,#NULL !,Trabajó al menos una hora,#NULL !,2511,7212,Empleado/a u obrero/a privado,48,Fuera del hogar,Unido/a,No aporta,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,Castellano Español,Mestizo,Trabajó al menos 1 hora,Industrias manufactureras,"Oficiales, operarios y artesanos de artes mecánicas y otros oficios",De 30 a 34 años,De 15 a 64 años,7,22015199900701,22015199900701003,220151999007010031,ORELLANA,ORELLANA,DAYUMA,220151999007
