PROVINCIA,CANTON,PARROQUIA,ZONA,SECTOR,MANZANA,No. DE VIVIENDA,No. DE HOGAR,Area urbana o rural,Tipo de vivienda,Via de acceso principal a la vivienda,Condición de ocupación de la vivienda,Material predominante del techo o cubierta de la vivienda,Material predominante de las paredes exteriores de la vivienda,Material predominante del piso de la vivienda,Estado del techo de la vivienda,Estado de las paredes de la vivienda,Estado del piso de la vivienda,De donde proviene principalmente el agua que recibe la vivienda,El agua que recibe la vivienda es,El servicio higiénico o escusado de la vivienda es,El servicio de luz (energía) eléctrica de la vivienda proviene principalmente,Dispone la vivienda de medidor de energía eléctrica,Cuantos focos ahorradores tiene su vivienda,Cuantos focos convencionales tiene su vivienda,Principalmente como elimina la basura,"Sin contar la cocina, el baño y cuartos de negocio.Cuantos cuartos tiene la vivienda","Todas las personas que duermen en esta vivienda, cocinan sus alimentos en forma conjunta y comparten un mismo gasto para la comida",Cuantos grupos de personas(hogares) duermen en su vivienda y cocinan los alimentos por separado incluya su hogar,nro_hogares,Total de personas de la vivienda,Total_Personas,Total de dormitorios de la vivienda,Total de emigrantes,Identificador de manzana,viv_id,Nombre de provincia,Nombre de cantón,Nombre de parroquia,sec_id,hog_id
Orellana,01,51,999,007,01,039,1,Area rural,Casa/Villa,Calle o carretera empedrada,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Malo,De pozo,No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,4,0,La queman,4 cuartos,Si,1 hogares,1,10,10,4 dormitorios,#NULL !,22015199900701,22015199900701039,ORELLANA,ORELLANA,DAYUMA,220151999007,220151999007010391
Orellana,01,51,999,009,04,010,1,Area rural,Rancho,Rio /mar / lago,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La arrojan en terreno baldío o quebrada,1 cuarto,Si,1 hogares,1,10,10,1 dormitorio,#NULL !,22015199900904,22015199900904010,ORELLANA,ORELLANA,DAYUMA,220151999009,220151999009040101
Orellana,01,51,999,009,04,020,1,Area rural,Rancho,Rio /mar / lago,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La arrojan en terreno baldío o quebrada,3 cuartos,Si,1 hogares,1,10,10,3 dormitorios,#NULL !,22015199900904,22015199900904020,ORELLANA,ORELLANA,DAYUMA,220151999009,220151999009040201
Orellana,01,51,999,009,04,035,1,Area rural,Rancho,Rio /mar / lago,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,Otro (Agua lluvia/albarrada),No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,"La arrojan al río, acequia o canal",1 cuarto,Si,1 hogares,1,10,10,1 dormitorio,#NULL !,22015199900904,22015199900904035,ORELLANA,ORELLANA,DAYUMA,220151999009,220151999009040351
Orellana,01,51,999,011,02,001,1,Area rural,Casa/Villa,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Malo,Malo,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,2,0,Por carro recolector,3 cuartos,Si,1 hogares,1,10,10,1 dormitorio,#NULL !,22015199901102,22015199901102001,ORELLANA,ORELLANA,DAYUMA,220151999011,220151999011020011
Orellana,01,51,999,011,02,035,1,Area rural,Rancho,Rio /mar / lago,Ocupada con personas presentes,Zinc,Madera,Tierra,Malo,Malo,Malo,De pozo,No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,No tiene medidor,1,0,"La arrojan al río, acequia o canal",1 cuarto,Si,1 hogares,1,10,10,1 dormitorio,#NULL !,22015199901102,22015199901102035,ORELLANA,ORELLANA,DAYUMA,220151999011,220151999011020351
Orellana,01,51,999,011,03,012,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Regular,Malo,De pozo,No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,"La arrojan al río, acequia o canal",3 cuartos,Si,1 hogares,1,10,10,1 dormitorio,#NULL !,22015199901103,22015199901103012,ORELLANA,ORELLANA,DAYUMA,220151999011,220151999011030121
Orellana,01,51,999,011,03,015,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,Otro (Agua lluvia/albarrada),No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La arrojan en terreno baldío o quebrada,3 cuartos,Si,1 hogares,1,10,10,1 dormitorio,#NULL !,22015199901103,22015199901103015,ORELLANA,ORELLANA,DAYUMA,220151999011,220151999011030151
Orellana,01,51,999,011,03,029,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,"Palma, paja u hoja",Madera,Tabla sin tratar,Malo,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo séptico,No tiene,#NULL !,#NULL !,#NULL !,La entierran,2 cuartos,Si,1 hogares,1,10,10,2 dormitorios,#NULL !,22015199901103,22015199901103029,ORELLANA,ORELLANA,DAYUMA,220151999011,220151999011030291
Orellana,01,51,999,011,03,030,1,Area rural,Casa/Villa,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Malo,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,"La arrojan al río, acequia o canal",1 cuarto,Si,1 hogares,1,10,10,1 dormitorio,#NULL !,22015199901103,22015199901103030,ORELLANA,ORELLANA,DAYUMA,220151999011,220151999011030301
