PROVINCIA,CANTON,PARROQUIA,ZONA,SECTOR,MANZANA,No. DE VIVIENDA,No. DE HOGAR,Area urbana o rural,Secuencial de Hogar,"Del total de cuartos de este hogar, Cuantos son exclusivos para dormir",Ningun Dormitorio,Tiene este hogar cuarto o espacio exclusivo para cocinar,El servicio higiénico o escusado que dispone el hogar es,Dispone este hogar de espacio con instalaciones y/o ducha para bañarse,Cual es el principal combustible o energía que utiliza este hogar para cocinar,"Principalmente, el agua que toman los miembros del hogar",Dispone este hogar de servicio de telefono convencional,Algun miembro de este hogar dispone de servicio de telefono celular,Dispone este hogar de servicio de internet,Dispone este hogar de computadora,Dispone este hogar de servicio de televisión por cable,Cuanto fue el último pago que realizó el hogar por concepto de luz eléctrica,No paga la luz electrica,Algún miembro de este hogar se traslada fuera de esta ciudad o parroquia rural para trabajar,Cuantos se trasladan fuera de esta ciudad o parroquia para trabajar,Algún miembro de este hogar se traslada fuera de esta ciudad o parroquia rural para estudiar,Cuantos se trasladan fuera de la ciudad o parroquia rural para estudiar,La vivienda que ocupa este hogar es,"Durante el año 2010, Alguna persona de este hogar recibió dinero por parte de familiares o amigos que viven en el exterior",A partir del último censo de población y vivienda(Noviembre 2001) una o mas personas que vivían en este hogar viajaron a otro pais y todavia no regresan para quedarse definitivamente,Cuantos personas viajaron al Exterior,Total_Personas,Total_Hombres,Total_Mujeres,Identificador de manzana,Identificador de vivienda,Identificador de hogar,hog_id,Nombre de provincia,Nombre de cantón,Nombre de parroquia,sec_id
Napo,1,53,999,16,4,1,1,Area rural,Hogar 1,3 dormitorios,#NULL !,Si,No tiene,No tiene,Gas (tanque o cilindro),La beben tal como llega al hogar,No,No,No,No,No,#NULL !,#NULL !,No,#NULL !,No,#NULL !,Propia y totalmente pagada,No,No,#NULL !,2,1,1,15015399901604,"1,5015399901604E+016","1,5015399901604E+017",150153999016040011,NAPO,TENA,CHONTAPUNTA,150153999016
Napo,1,53,999,16,4,2,1,Area rural,Hogar 1,2 dormitorios,#NULL !,Si,No tiene,No tiene,"Leña, carbón",La beben tal como llega al hogar,No,No,No,No,No,#NULL !,#NULL !,No,#NULL !,No,#NULL !,Propia y totalmente pagada,No,No,#NULL !,1,1,0,15015399901604,"1,5015399901604E+016","1,5015399901604E+017",150153999016040021,NAPO,TENA,CHONTAPUNTA,150153999016
Napo,1,53,999,16,4,3,1,Area rural,Hogar 1,2 dormitorios,#NULL !,Si,Compartido con varios hogares,No tiene,"Leña, carbón",La beben tal como llega al hogar,No,No,No,No,No,#NULL !,#NULL !,No,#NULL !,No,#NULL !,Propia y totalmente pagada,No,No,#NULL !,4,2,2,15015399901604,"1,5015399901604E+016","1,5015399901604E+017",150153999016040031,NAPO,TENA,CHONTAPUNTA,150153999016
Napo,1,53,999,16,4,4,1,Area rural,Hogar 1,2 dormitorios,#NULL !,Si,No tiene,No tiene,"Leña, carbón",La hierven,No,Si,No,No,No,#NULL !,#NULL !,No,#NULL !,No,#NULL !,Propia y totalmente pagada,No,No,#NULL !,7,2,5,15015399901604,"1,5015399901604E+016","1,5015399901604E+017",150153999016040041,NAPO,TENA,CHONTAPUNTA,150153999016
Napo,1,53,999,16,4,5,1,Area rural,Hogar 1,4 dormitorios,#NULL !,No,No tiene,No tiene,"Leña, carbón",La beben tal como llega al hogar,No,Si,No,No,No,#NULL !,#NULL !,No,#NULL !,No,#NULL !,Propia y totalmente pagada,No,No,#NULL !,8,6,2,15015399901604,"1,5015399901604E+016","1,5015399901604E+017",150153999016040051,NAPO,TENA,CHONTAPUNTA,150153999016
Napo,1,53,999,16,4,6,1,Area rural,Hogar 1,4 dormitorios,#NULL !,Si,Compartido con varios hogares,No tiene,"Leña, carbón",La beben tal como llega al hogar,No,No,No,No,No,#NULL !,#NULL !,No,#NULL !,No,#NULL !,Propia y totalmente pagada,No,No,#NULL !,2,1,1,15015399901604,"1,5015399901604E+016","1,5015399901604E+017",150153999016040061,NAPO,TENA,CHONTAPUNTA,150153999016
Napo,1,53,999,16,4,7,1,Area rural,Hogar 1,2 dormitorios,#NULL !,No,No tiene,No tiene,"Leña, carbón",La beben tal como llega al hogar,No,No,No,No,No,#NULL !,#NULL !,No,#NULL !,No,#NULL !,Propia y totalmente pagada,No,No,#NULL !,6,1,5,15015399901604,"1,5015399901604E+016","1,5015399901604E+017",150153999016040071,NAPO,TENA,CHONTAPUNTA,150153999016
Napo,1,53,999,16,4,8,1,Area rural,Hogar 1,2 dormitorios,#NULL !,Si,No tiene,No tiene,"Leña, carbón",Le ponen cloro,No,Si,No,No,No,#NULL !,#NULL !,No,#NULL !,Si,3,Propia y totalmente pagada,No,No,#NULL !,8,5,3,15015399901604,"1,5015399901604E+016","1,5015399901604E+017",150153999016040081,NAPO,TENA,CHONTAPUNTA,150153999016
Napo,1,53,999,16,4,9,1,Area rural,Hogar 1,2 dormitorios,#NULL !,Si,No tiene,No tiene,"Leña, carbón",La beben tal como llega al hogar,No,Si,No,No,No,#NULL !,#NULL !,No,#NULL !,No,#NULL !,Propia y totalmente pagada,No,No,#NULL !,6,4,2,15015399901604,"1,5015399901604E+016","1,5015399901604E+017",150153999016040091,NAPO,TENA,CHONTAPUNTA,150153999016
Napo,1,53,999,16,4,10,1,Area rural,Hogar 1,2 dormitorios,#NULL !,Si,Compartido con varios hogares,No tiene,"Leña, carbón",Le ponen cloro,No,No,No,No,No,#NULL !,#NULL !,No,#NULL !,No,#NULL !,Propia y totalmente pagada,No,No,#NULL !,9,3,6,15015399901604,"1,5015399901604E+016","1,5015399901604E+017",150153999016040101,NAPO,TENA,CHONTAPUNTA,150153999016
