PROVINCIA,CANTON,PARROQUIA,ZONA,SECTOR,MANZANA,No. DE VIVIENDA,No. DE HOGAR,Area urbana o rural,Tipo de vivienda,Via de acceso principal a la vivienda,Condición de ocupación de la vivienda,Material predominante del techo o cubierta de la vivienda,Material predominante de las paredes exteriores de la vivienda,Material predominante del piso de la vivienda,Estado del techo de la vivienda,Estado de las paredes de la vivienda,Estado del piso de la vivienda,De donde proviene principalmente el agua que recibe la vivienda,El agua que recibe la vivienda es,El servicio higiénico o escusado de la vivienda es,El servicio de luz (energía) eléctrica de la vivienda proviene principalmente,Dispone la vivienda de medidor de energía eléctrica,Cuantos focos ahorradores tiene su vivienda,Cuantos focos convencionales tiene su vivienda,Principalmente como elimina la basura,"Sin contar la cocina, el baño y cuartos de negocio.Cuantos cuartos tiene la vivienda","Todas las personas que duermen en esta vivienda, cocinan sus alimentos en forma conjunta y comparten un mismo gasto para la comida",nro_hogares,Total_Personas,Total de dormitorios de la vivienda,Total de emigrantes,Identificador de manzana,viv_id,hog_id,Nombre de provincia,Nombre de cantón,Nombre de parroquia
Napo,01,53,999,016,04,011,1,Area rural,Casa/Villa,"Camino, sendero, chaquiñan",Ocupada con personas ausentes,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,#NULL !,#NULL !,15015399901604,15015399901604011,150153999016040111,NAPO,TENA,CHONTAPUNTA
Orellana,01,51,999,001,01,004,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Desocupada,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,#NULL !,#NULL !,22015199900101,22015199900101004,220151999001010041,ORELLANA,ORELLANA,DAYUMA
Orellana,01,51,999,001,01,007,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Desocupada,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,#NULL !,#NULL !,22015199900101,22015199900101007,220151999001010071,ORELLANA,ORELLANA,DAYUMA
Orellana,01,51,999,001,01,008,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Desocupada,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,#NULL !,#NULL !,22015199900101,22015199900101008,220151999001010081,ORELLANA,ORELLANA,DAYUMA
Orellana,01,51,999,001,01,009,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas ausentes,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,#NULL !,#NULL !,22015199900101,22015199900101009,220151999001010091,ORELLANA,ORELLANA,DAYUMA
Orellana,01,51,999,001,01,010,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas ausentes,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,#NULL !,#NULL !,22015199900101,22015199900101010,220151999001010101,ORELLANA,ORELLANA,DAYUMA
Orellana,01,51,999,001,02,006,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas ausentes,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,#NULL !,#NULL !,22015199900102,22015199900102006,220151999001020061,ORELLANA,ORELLANA,DAYUMA
Orellana,01,51,999,001,02,010,1,Area rural,Rancho,"Calle o carretera adoquinada, pavimentada o de concreto",Desocupada,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,#NULL !,#NULL !,22015199900102,22015199900102010,220151999001020101,ORELLANA,ORELLANA,DAYUMA
Orellana,01,51,999,001,02,012,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Desocupada,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,#NULL !,#NULL !,22015199900102,22015199900102012,220151999001020121,ORELLANA,ORELLANA,DAYUMA
Orellana,01,51,999,001,02,014,1,Area rural,Mediagua,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas ausentes,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,#NULL !,#NULL !,22015199900102,22015199900102014,220151999001020141,ORELLANA,ORELLANA,DAYUMA
Orellana,01,51,999,001,02,019,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Desocupada,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,#NULL !,#NULL !,22015199900102,22015199900102019,220151999001020191,ORELLANA,ORELLANA,DAYUMA
Orellana,01,51,999,001,02,020,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Desocupada,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,#NULL !,#NULL !,22015199900102,22015199900102020,220151999001020201,ORELLANA,ORELLANA,DAYUMA
Orellana,01,51,999,001,02,029,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas ausentes,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,#NULL !,#NULL !,22015199900102,22015199900102029,220151999001020291,ORELLANA,ORELLANA,DAYUMA
Orellana,01,51,999,001,02,030,1,Area rural,Mediagua,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas ausentes,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,#NULL !,#NULL !,22015199900102,22015199900102030,220151999001020301,ORELLANA,ORELLANA,DAYUMA
Orellana,01,51,999,001,03,003,1,Area rural,Casa/Villa,Calle o carretera empedrada,Desocupada,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,#NULL !,#NULL !,22015199900103,22015199900103003,220151999001030031,ORELLANA,ORELLANA,DAYUMA
Orellana,01,51,999,001,03,006,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas ausentes,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,#NULL !,#NULL !,22015199900103,22015199900103006,220151999001030061,ORELLANA,ORELLANA,DAYUMA
Orellana,01,51,999,001,04,006,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,Ocupada con personas ausentes,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,#NULL !,#NULL !,22015199900104,22015199900104006,220151999001040061,ORELLANA,ORELLANA,DAYUMA
Orellana,01,51,999,001,04,007,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Desocupada,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,#NULL !,#NULL !,22015199900104,22015199900104007,220151999001040071,ORELLANA,ORELLANA,DAYUMA
Orellana,01,51,999,001,05,001,1,Area rural,Rancho,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas ausentes,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,#NULL !,#NULL !,22015199900105,22015199900105001,220151999001050011,ORELLANA,ORELLANA,DAYUMA
Orellana,01,51,999,001,05,002,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Desocupada,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,#NULL !,#NULL !,22015199900105,22015199900105002,220151999001050021,ORELLANA,ORELLANA,DAYUMA
Orellana,01,51,999,001,06,001,1,Area rural,Casa/Villa,"Camino, sendero, chaquiñan",Desocupada,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,#NULL !,#NULL !,22015199900106,22015199900106001,220151999001060011,ORELLANA,ORELLANA,DAYUMA
Orellana,01,51,999,001,06,002,1,Area rural,Casa/Villa,"Camino, sendero, chaquiñan",Ocupada con personas ausentes,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,#NULL !,#NULL !,22015199900106,22015199900106002,220151999001060021,ORELLANA,ORELLANA,DAYUMA
Orellana,01,51,999,001,06,003,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Desocupada,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,#NULL !,#NULL !,22015199900106,22015199900106003,220151999001060031,ORELLANA,ORELLANA,DAYUMA
Orellana,01,51,999,001,06,005,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,Desocupada,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,#NULL !,#NULL !,22015199900106,22015199900106005,220151999001060051,ORELLANA,ORELLANA,DAYUMA
Orellana,01,51,999,001,06,006,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,Ocupada con personas ausentes,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,#NULL !,#NULL !,22015199900106,22015199900106006,220151999001060061,ORELLANA,ORELLANA,DAYUMA
Orellana,01,51,999,001,06,008,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,En construcción,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,#NULL !,#NULL !,22015199900106,22015199900106008,220151999001060081,ORELLANA,ORELLANA,DAYUMA
Orellana,01,51,999,001,06,009,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,Desocupada,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,#NULL !,#NULL !,22015199900106,22015199900106009,220151999001060091,ORELLANA,ORELLANA,DAYUMA
Orellana,01,51,999,001,07,002,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,En construcción,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,#NULL !,#NULL !,22015199900107,22015199900107002,220151999001070021,ORELLANA,ORELLANA,DAYUMA
Orellana,01,51,999,001,07,005,1,Area rural,Casa/Villa,Calle o carretera empedrada,Desocupada,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,#NULL !,#NULL !,22015199900107,22015199900107005,220151999001070051,ORELLANA,ORELLANA,DAYUMA
Orellana,01,51,999,001,07,006,1,Area rural,Casa/Villa,Calle o carretera empedrada,Desocupada,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,#NULL !,#NULL !,22015199900107,22015199900107006,220151999001070061,ORELLANA,ORELLANA,DAYUMA
Orellana,01,51,999,002,01,003,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas ausentes,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,#NULL !,#NULL !,22015199900201,22015199900201003,220151999002010031,ORELLANA,ORELLANA,DAYUMA
Orellana,01,51,999,002,01,013,1,Area rural,Rancho,"Calle o carretera adoquinada, pavimentada o de concreto",Desocupada,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,#NULL !,#NULL !,22015199900201,22015199900201013,220151999002010131,ORELLANA,ORELLANA,DAYUMA
Orellana,01,51,999,002,01,025,1,Area rural,Otra vivienda particular,"Calle o carretera adoquinada, pavimentada o de concreto",Desocupada,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,#NULL !,#NULL !,22015199900201,22015199900201025,220151999002010251,ORELLANA,ORELLANA,DAYUMA
Orellana,01,51,999,002,01,026,1,Area rural,Mediagua,"Calle o carretera adoquinada, pavimentada o de concreto",Desocupada,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,#NULL !,#NULL !,22015199900201,22015199900201026,220151999002010261,ORELLANA,ORELLANA,DAYUMA
Orellana,01,51,999,002,01,030,1,Area rural,Rancho,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas ausentes,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,#NULL !,#NULL !,22015199900201,22015199900201030,220151999002010301,ORELLANA,ORELLANA,DAYUMA
Orellana,01,51,999,002,01,032,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas ausentes,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,#NULL !,#NULL !,22015199900201,22015199900201032,220151999002010321,ORELLANA,ORELLANA,DAYUMA
Orellana,01,51,999,002,01,033,1,Area rural,Rancho,"Calle o carretera adoquinada, pavimentada o de concreto",Desocupada,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,#NULL !,#NULL !,22015199900201,22015199900201033,220151999002010331,ORELLANA,ORELLANA,DAYUMA
