PROVINCIA,CANTON,PARROQUIA,ZONA,SECTOR,MANZANA,No. DE VIVIENDA,No. DE HOGAR,Area urbana o rural,Tipo de vivienda,Via de acceso principal a la vivienda,Condición de ocupación de la vivienda,Material predominante del techo o cubierta de la vivienda,Material predominante de las paredes exteriores de la vivienda,Material predominante del piso de la vivienda,Estado del techo de la vivienda,Estado de las paredes de la vivienda,Estado del piso de la vivienda,De donde proviene principalmente el agua que recibe la vivienda,El agua que recibe la vivienda es,El servicio higiénico o escusado de la vivienda es,El servicio de luz (energía) eléctrica de la vivienda proviene principalmente,Dispone la vivienda de medidor de energía eléctrica,Cuantos focos ahorradores tiene su vivienda,Cuantos focos convencionales tiene su vivienda,Principalmente como elimina la basura,"Sin contar la cocina, el baño y cuartos de negocio.Cuantos cuartos tiene la vivienda","Todas las personas que duermen en esta vivienda, cocinan sus alimentos en forma conjunta y comparten un mismo gasto para la comida",nro_hogares,Total_Personas,Total de dormitorios de la vivienda,Total de emigrantes,Identificador de manzana,viv_id,hog_id,Nombre de provincia,Nombre de cantón,Nombre de parroquia,sec_id
Orellana,01,51,999,005,02,005,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Ladrillo o bloque,Ladrillo o cemento,Bueno,Bueno,Regular,"De río, vertiente, acequia o canal","Por tubería fuera de la vivienda pero dentro del edificio, lote o terreno",Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,7,0,La queman,10,No,2,7,9 dormitorios,#NULL !,22015199900502,22015199900502005,220151999005020051,ORELLANA,ORELLANA,DAYUMA,220151999005
Orellana,01,51,999,015,06,010,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Malo,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,2,0,La queman,4 cuartos,No,2,4,4 dormitorios,#NULL !,22015199901506,22015199901506010,220151999015060101,ORELLANA,ORELLANA,DAYUMA,220151999015
Orellana,01,51,999,018,01,036,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Bueno,Regular,De pozo,No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,6,0,La arrojan en terreno baldío o quebrada,5 cuartos,No,2,4,2 dormitorios,#NULL !,22015199901801,22015199901801036,220151999018010361,ORELLANA,ORELLANA,DAYUMA,220151999018
Orellana,01,51,999,018,01,053,1,Area rural,Rancho,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,Otro (Agua lluvia/albarrada),No recibe agua por tubería sino por otros medios,Letrina,Red de empresa eléctrica de servicio público,De uso exclusivo,3,0,Por carro recolector,1 cuarto,No,2,6,1 dormitorio,#NULL !,22015199901801,22015199901801053,220151999018010531,ORELLANA,ORELLANA,DAYUMA,220151999018
Napo,01,53,999,016,04,001,1,Area rural,Departamento en casa o edificio,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La arrojan en terreno baldío o quebrada,3 cuartos,Si,1,2,3 dormitorios,#NULL !,15015399901604,15015399901604001,150153999016040011,NAPO,TENA,CHONTAPUNTA,150153999016
Napo,01,53,999,016,04,002,1,Area rural,Casa/Villa,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La arrojan en terreno baldío o quebrada,2 cuartos,Si,1,1,2 dormitorios,#NULL !,15015399901604,15015399901604002,150153999016040021,NAPO,TENA,CHONTAPUNTA,150153999016
Napo,01,53,999,016,04,003,1,Area rural,Casa/Villa,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Malo,Malo,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,No tiene,#NULL !,#NULL !,#NULL !,La arrojan en terreno baldío o quebrada,2 cuartos,Si,1,4,2 dormitorios,#NULL !,15015399901604,15015399901604003,150153999016040031,NAPO,TENA,CHONTAPUNTA,150153999016
Napo,01,53,999,016,04,004,1,Area rural,Casa/Villa,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Malo,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La arrojan en terreno baldío o quebrada,3 cuartos,Si,1,7,2 dormitorios,#NULL !,15015399901604,15015399901604004,150153999016040041,NAPO,TENA,CHONTAPUNTA,150153999016
Napo,01,53,999,016,04,005,1,Area rural,Casa/Villa,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La arrojan en terreno baldío o quebrada,4 cuartos,Si,1,8,4 dormitorios,#NULL !,15015399901604,15015399901604005,150153999016040051,NAPO,TENA,CHONTAPUNTA,150153999016
Napo,01,53,999,016,04,006,1,Area rural,Casa/Villa,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Panel Solar,#NULL !,3,0,La arrojan en terreno baldío o quebrada,4 cuartos,Si,1,2,4 dormitorios,#NULL !,15015399901604,15015399901604006,150153999016040061,NAPO,TENA,CHONTAPUNTA,150153999016
