REDCODE,Total
150153999016,23
220151999001,43
220151999002,39
220151999003,44
220151999004,99
220151999005,55
220151999006,87
220151999007,56
220151999008,46
220151999009,57
220151999010,51
220151999011,117
220151999012,53
220151999013,79
220151999014,59
220151999015,63
220151999016,42
220151999017,72
220151999018,92
220152999003,20
220152999004,0
220152999005,59
220154999004,23
220154999005,16
220156999002,21
220157999001,38
220157999002,81
220157999003,72
220157999004,46
220157999005,46
220158999002,23
220158999003,32
220158999004,24
220158999005,20
220158999006,47
220158999007,74
220158999009,16
220158999010,48
220158999011,14
220158999012,17
220158999013,79
220158999014,54
220158999015,64
