PROVINCIA,CANTON,PARROQUIA,ZONA,SECTOR,MANZANA,No. DE VIVIENDA,No. DE HOGAR,Area urbana o rural,Tipo de vivienda,Via de acceso principal a la vivienda,Condición de ocupación de la vivienda,Material predominante del techo o cubierta de la vivienda,Material predominante de las paredes exteriores de la vivienda,Material predominante del piso de la vivienda,Estado del techo de la vivienda,Estado de las paredes de la vivienda,Estado del piso de la vivienda,De donde proviene principalmente el agua que recibe la vivienda,El agua que recibe la vivienda es,El servicio higiénico o escusado de la vivienda es,El servicio de luz (energía) eléctrica de la vivienda proviene principalmente,Dispone la vivienda de medidor de energía eléctrica,Cuantos focos ahorradores tiene su vivienda,Cuantos focos convencionales tiene su vivienda,Principalmente como elimina la basura,"Sin contar la cocina, el baño y cuartos de negocio.Cuantos cuartos tiene la vivienda","Todas las personas que duermen en esta vivienda, cocinan sus alimentos en forma conjunta y comparten un mismo gasto para la comida",Cuantos grupos de personas(hogares) duermen en su vivienda y cocinan los alimentos por separado incluya su hogar,nro_hogares,Total de personas de la vivienda,Total_Personas,Total de dormitorios de la vivienda,Total de emigrantes,Identificador de manzana,viv_id,Nombre de provincia,Nombre de cantón,Nombre de parroquia,sec_id,hog_id
Napo,01,53,999,016,05,011,1,Area rural,Rancho,Rio /mar / lago,Ocupada con personas presentes,"Palma, paja u hoja",Madera,Tabla sin tratar,Malo,Malo,Malo,De pozo,No recibe agua por tubería sino por otros medios,"Con descarga directa al mar, río, lago o quebrada",No tiene,#NULL !,#NULL !,#NULL !,De otra forma,3 cuartos,Si,1 hogares,1,10,10,3 dormitorios,#NULL !,15015399901605,15015399901605011,NAPO,TENA,CHONTAPUNTA,150153999016,150153999016050111
Orellana,01,51,999,001,02,027,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Madera,Ladrillo o cemento,Bueno,Bueno,Bueno,De pozo,No recibe agua por tubería sino por otros medios,Letrina,Red de empresa eléctrica de servicio público,De uso exclusivo,3,5,Por carro recolector,5 cuartos,Si,1 hogares,1,10,10,5 dormitorios,#NULL !,22015199900102,22015199900102027,ORELLANA,ORELLANA,DAYUMA,220151999001,220151999001020271
Orellana,01,51,999,002,03,010,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,"Palma, paja u hoja",Madera,Caña,Regular,Regular,Malo,De pozo,No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La arrojan en terreno baldío o quebrada,2 cuartos,Si,1 hogares,1,10,10,2 dormitorios,#NULL !,22015199900203,22015199900203010,ORELLANA,ORELLANA,DAYUMA,220151999002,220151999002030101
Orellana,01,51,999,003,02,013,1,Area rural,Rancho,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Malo,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,0,2,La queman,4 cuartos,Si,1 hogares,1,10,10,3 dormitorios,#NULL !,22015199900302,22015199900302013,ORELLANA,ORELLANA,DAYUMA,220151999003,220151999003020131
Orellana,01,51,999,004,01,006,1,Area rural,Rancho,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Bueno,Bueno,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,6,1,Por carro recolector,5 cuartos,Si,1 hogares,1,10,10,4 dormitorios,#NULL !,22015199900401,22015199900401006,ORELLANA,ORELLANA,DAYUMA,220151999004,220151999004010061
Orellana,01,51,999,004,01,010,1,Area rural,Rancho,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,Otro (Agua lluvia/albarrada),No recibe agua por tubería sino por otros medios,Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,2,0,Por carro recolector,5 cuartos,Si,1 hogares,1,10,10,5 dormitorios,#NULL !,22015199900401,22015199900401010,ORELLANA,ORELLANA,DAYUMA,220151999004,220151999004010101
Orellana,01,51,999,004,03,005,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Malo,Regular,De pozo,No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,0,2,La queman,4 cuartos,Si,1 hogares,1,10,10,3 dormitorios,1,22015199900403,22015199900403005,ORELLANA,ORELLANA,DAYUMA,220151999004,220151999004030051
Orellana,01,51,999,004,03,013,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Malo,Regular,De pozo,No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,0,2,La queman,1 cuarto,Si,1 hogares,1,10,10,1 dormitorio,#NULL !,22015199900403,22015199900403013,ORELLANA,ORELLANA,DAYUMA,220151999004,220151999004030131
Orellana,01,51,999,005,01,014,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Bueno,Bueno,Bueno,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,2,3,Por carro recolector,4 cuartos,Si,1 hogares,1,10,10,4 dormitorios,#NULL !,22015199900501,22015199900501014,ORELLANA,ORELLANA,DAYUMA,220151999005,220151999005010141
Orellana,01,51,999,005,03,015,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Malo,Otro (Agua lluvia/albarrada),No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,4,0,La queman,4 cuartos,Si,1 hogares,1,10,10,4 dormitorios,#NULL !,22015199900503,22015199900503015,ORELLANA,ORELLANA,DAYUMA,220151999005,220151999005030151
