CODE,NB
150153999016,24
220151999001,72
220151999002,60
220151999003,72
220151999004,134
220151999005,68
220151999006,129
220151999007,94
220151999008,87
220151999009,77
220151999010,62
220151999011,141
220151999012,70
220151999013,109
220151999014,74
220151999015,83
220151999016,76
220151999017,123
220151999018,123
220152999003,34
220152999004,2
220152999005,112
220154999004,40
220154999005,21
220156999002,26
220157999001,60
220157999002,146
220157999003,122
220157999004,77
220157999005,70
220158999002,31
220158999003,50
220158999004,28
220158999005,25
220158999006,63
220158999007,96
220158999009,21
220158999010,76
220158999011,33
220158999012,35
220158999013,114
220158999014,54
220158999015,93
